# PartB: Data for convergence test
  0   1.474530006e+01
  1   5.391648820e+00
  2   7.378365094e-02
  3   4.466900681e-02
  4   8.462446404e-03
  5   1.321857141e-03
  6   2.000453362e-04
  7   3.010077656e-05
  8   4.524586775e-06
  9   6.799916905e-07
 10   1.021919034e-07
 11   1.535776439e-08
 12   2.308020886e-09
 13   3.468585419e-10
 14   5.212896781e-11
 15   7.835954108e-12
 16   1.178612763e-12
 17   1.780797731e-13
 18   2.842170943e-14
 19   5.329070518e-15
 20   1.332267630e-15
 21   1.776356839e-15
 22   1.332267630e-15
 23   1.776356839e-15
 24   1.776356839e-15


  0   1.474530006e+01
  1   5.391648820e+00
  2   7.378365094e-02
  3   4.466900681e-02
  4   8.462446404e-03
  5   1.321857141e-03
  6   9.362821629e-11
  7   1.776356839e-15
  8   8.881784197e-16
  9   4.440892099e-16
 10   4.440892099e-16
 11   1.332267630e-15
 12   1.332267630e-15
 13   1.332267630e-15
 14   1.332267630e-15
 15   1.332267630e-15
 16   1.332267630e-15
 17   8.881784197e-16
 18   8.881784197e-16
 19   8.881784197e-16
 20   8.881784197e-16
 21   1.332267630e-15
 22   1.332267630e-15
 23   1.332267630e-15
 24   1.332267630e-15


  0   1.474530006e+01
  1   5.391648820e+00
  2   7.378365094e-02
  3   4.466900681e-02
  4   4.780528298e-06
  5   3.933711135e-10
  6   3.197442311e-14
  7   1.332267630e-15
  8   8.881784197e-16
  9   8.881784197e-16
 10   1.332267630e-15
 11   1.332267630e-15
 12   1.332267630e-15
 13   8.881784197e-16
 14   8.881784197e-16
 15   8.881784197e-16
 16   1.332267630e-15
 17   1.332267630e-15
 18   1.332267630e-15
 19   8.881784197e-16
 20   8.881784197e-16
 21   8.881784197e-16
 22   1.332267630e-15
 23   1.332267630e-15
 24   1.332267630e-15


  0   1.474530006e+01
  1   5.391648820e+00
  2   7.378365094e-02
  3   7.919908903e-05
  4   1.771941438e-08
  5   8.881784197e-16
  6   4.440892099e-16
  7   1.332267630e-15
  8   1.332267630e-15
  9   1.332267630e-15
 10   8.881784197e-16
 11   1.332267630e-15
 12   1.332267630e-15
 13   8.881784197e-16
 14   8.881784197e-16
 15   1.332267630e-15
 16   1.332267630e-15
 17   8.881784197e-16
 18   8.881784197e-16
 19   1.332267630e-15
 20   1.332267630e-15
 21   8.881784197e-16
 22   8.881784197e-16
 23   1.332267630e-15
 24   1.332267630e-15


  0   1.474530006e+01
  1   5.391648820e+00
  2   9.637656010e-01
  3   1.455251829e-02
  4   1.570503416e-07
  5   1.332267630e-15
  6   8.881784197e-16
  7   1.332267630e-15
  8   8.881784197e-16
  9   1.332267630e-15
 10   8.881784197e-16
 11   1.332267630e-15
 12   8.881784197e-16
 13   1.332267630e-15
 14   8.881784197e-16
 15   1.332267630e-15
 16   8.881784197e-16
 17   1.332267630e-15
 18   8.881784197e-16
 19   1.332267630e-15
 20   8.881784197e-16
 21   1.332267630e-15
 22   8.881784197e-16
 23   1.332267630e-15
 24   8.881784197e-16
